values,values1
"7 weeks, 3 weeks, non-irradiated","7 weeks, 3 weeks, non-irradiated,"
"7 weeks, 9 weeks, 10 weeks","7 weeks, 9 weeks, 10 weeks,"
"7, 8, 6, 3, 23","7, 8, 6, 3, 23,"
"7, 8, 9, 5","7, 8, 9, 5,"
"70 to 75, 55 to 60, 60 to 65, 65 to 70, over 75","70 to 75, 55 to 60, 60 to 65, 65 to 70, over 75,"
"71, 65, 64, 76, 60","71, 65, 64, 76, 60,"
"71.1, 70.5, 69.8, 56, 68.1","71.1, 70.5, 69.8, 56, 68.1,"
"72 hag, 78 hag, 74 hag","72 hag, 78 hag, 74 hag,"
"72, 50, 70, 69, 66","72, 50, 70, 69, 66,"
"72, 67, 57, 76, 50","72, 67, 57, 76, 50,"
"74, 62, 76, 83, 45","74, 62, 76, 83, 45,"
76 / 197,"76 / 197,"
"76, 54, 64, 80, 51","76, 54, 64, 80, 51,"
"76, 74, 75, 28, 77","76, 74, 75, 28, 77,"
"78 years sexfemale, 74 years sexfemale, 87 years sexfemale","78 years sexfemale, 74 years sexfemale, 87 years sexfemale,"
"78, 68, 73, 48, 80","78, 68, 73, 48, 80,"
"78, 70, 69, 88, 81","78, 70, 69, 88, 81,"
"79, 83, 73, 71, 77","79, 83, 73, 71, 77,"
"7m, 6.9m, 5m, 4m, 5.9m","7m, 6.9m, 5m, 4m, 5.9m,"
"8 weeks, approximately 14 days, 6 to 8 weeks, 6-8 weeks, adult","8 weeks, approximately 14 days, 6 to 8 weeks, 6-8 weeks, adult,"
"8 weeks, na, 48, 53, 49","8 weeks, na, 48, 53, 49,"
8-week old,"8-week old,"
"8-yrs, 8, 2-yrs, 9, 9-yrs","8-yrs, 8, 2-yrs, 9, 9-yrs,"
"8, 32, 16, 72, 15","8, 32, 16, 72, 15,"
"8.1, 9.5, 6.1, 10.1, 12","8.1, 9.5, 6.1, 10.1, 12,"
"8.5, 10.5","8.5, 10.5,"
"87, 71, 140, 97, 161","87, 71, 140, 97, 161,"
"89, 80, 81, 87, 76","89, 80, 81, 87, 76,"
92-114 weeks postinoculation,"92-114 weeks postinoculation,"
"96, 60, 48, 72, 13","96, 60, 48, 72, 13,"
"96, 72, 36, 60, 84","96, 72, 36, 60, 84,"
"about 60 years, about 25 years","about 60 years, about 25 years,"
"adult 8 weeks, immortal cells, embryonic day 0 (stem cell), embryonic day 14.5, embryonic day 11.5","adult 8 weeks, immortal cells, embryonic day 0 (stem cell), embryonic day 14.5, embryonic day 11.5,"
"adult male, 77/m, 60/m, 54/f, 2-3 month old males","adult male, 77/m, 60/m, 54/f, 2-3 month old males,"
"adult, old, young, [53,58), [58,63]","adult, old, young, [53,58), [58,63],"
approximately 18 weeks old,"approximately 18 weeks old,"
"cycling endometrium secretory phase, first trimester","cycling endometrium secretory phase, first trimester,"
"day 100, end-stage, day 65, day 130, day 150","day 100, end-stage, day 65, day 130, day 150,"
day 19,"day 19,"
day 5 in vitro,"day 5 in vitro,"
"day 5, day 21, day 7","day 5, day 21, day 7,"
"day6, day0, day24","day6, day0, day24,"
"day7, day 7, day 5, day 6, day 2","day7, day 7, day 5, day 6, day 2,"
"e10.5, e14.5, 10 weeks","e10.5, e14.5, 10 weeks,"
e12.5,"e12.5,"
"e13.5, e11.5, 8-week, e3.5, e12.5","e13.5, e11.5, 8-week, e3.5, e12.5,"
"e14.5, tissue whole embryo excluding head and organs, week 11 of gestation, e17, 1 hour post fertilization, 7 hour post fertilization","e14.5, tissue whole embryo excluding head and organs, week 11 of gestation, e17, 1 hour post fertilization, 7 hour post fertilization,"
"e17.5, e14","e17.5, e14,"
eight weeks old,"eight weeks old,"
"fiber 2 dpa, fiber 10 dpa, fiber 20 dpa, npcs of neocortex from 3 littermates wild-type mouse embryos at e14, npcs of neocortex from 3 littermates ts1cje mouse embryos at e14","fiber 2 dpa, fiber 10 dpa, fiber 20 dpa, npcs of neocortex from 3 littermates wild-type mouse embryos at e14, npcs of neocortex from 3 littermates ts1cje mouse embryos at e14,"
"gestation day 75, gestation day 90, 30 days","gestation day 75, gestation day 90, 30 days,"
"gte6, lt6","gte6, lt6,"
"heads after mid-anthesis, five weeks after grafting seven day-old seedlings","heads after mid-anthesis, five weeks after grafting seven day-old seedlings,"
"homozygous knockout (sirt1-/-), wild type (sirt1+/+), heterozygous knockout (sirt1+/-)","homozygous knockout (sirt1-/-), wild type (sirt1+/+), heterozygous knockout (sirt1+/-),"
male,"male,"
"n/a, 25, 22, 14, 17","n/a, 25, 22, 14, 17,"
"n/a, 26, 25, 28, 23","n/a, 26, 25, 28, 23,"
"n/a, 27 ,29, 24, 30","n/a, 27 ,29, 24, 30,"
"n/a, 44 days","n/a, 44 days,"
"n/a, 5, 6.6, 6.4, 3.9","n/a, 5, 6.6, 6.4, 3.9,"
"n/a, 62.75 (56-68)","n/a, 62.75 (56-68),"
"n/a, 65, 45, 48","n/a, 65, 45, 48,"
"na, 12, 5, 3, 14","na, 12, 5, 3, 14,"
"na, 24, 17, 54, 15","na, 24, 17, 54, 15,"
"na, 28, 12, 8, 11","na, 28, 12, 8, 11,"
"na, 28, 12, 8, 11","na, 28, 12, 8, 11,"
"na, 49, 48, 46, 42","na, 49, 48, 46, 42,"
"na, 66, 42, 38, 62","na, 66, 42, 38, 62,"
"na, 68, 70, 78, 73","na, 68, 70, 78, 73,"
"na, 73 days, 75 days, 54 days, 3 years","na, 73 days, 75 days, 54 days, 3 years,"
"na, 74 years, 70 years, 28, 64","na, 74 years, 70 years, 28, 64,"
"na, 80, 90, 86, 88","na, 80, 90, 86, 88,"
"na, 89, 80, 79, 82","na, 89, 80, 79, 82,"
"not available, 58, 61, 68, 59","not available, 58, 61, 68, 59,"
"null, 7.416666667, 12.16666667, 7.916666667, 9.833333333","null, 7.416666667, 12.16666667, 7.916666667, 9.833333333,"
"old, young, adult","old, young, adult,"
"p1, 120 days of fetal age, 1 day of life, 130 days of fetal age, 145 days of fetal age","p1, 120 days of fetal age, 1 day of life, 130 days of fetal age, 145 days of fetal age,"
"p30.5, e18.5","p30.5, e18.5,"
"pn14, pn1, pn7","pn14, pn1, pn7,"
pnd 22,"pnd 22,"
pnd 8,"pnd 8,"
pnd70,"pnd70,"
"week, day","week, day,"
"week, day, weeks","week, day, weeks,"
"weeks, pnd, days, weeks at start of exposure, years","weeks, pnd, days, weeks at start of exposure, years,"
"xenograft cells injected at 6-10 weeks, 4 months","xenograft cells injected at 6-10 weeks, 4 months,"
"young, adult, old, nonagenarian, ped","young, adult, old, nonagenarian, ped,"
"young, aged","young, aged,"
"young, middle-age, old","young, middle-age, old,"
